name,Monday ,Tuesday ,Wednesday ,Thursday ,Friday,Saturday ,Sunday,Weekly cost,Predict rate
Asparagus - Mexican,40.7,55,58,46.0,50.5,29,47.3,36.2,57.8
"Beef - Kindney, Whole",51.0,30,34,52.6,43.0,34,25.1,24.2,16.6
Pail With Metal Handle 16l White,73.4,47,52,49.9,43.2,33,26.5,16.6,71.3
Steampan - Foil,38.9,25,48,59.1,59.0,22,52.6,46.1,62.9
Thyme - Fresh,53.5,55,21,53.0,45.1,49,53.9,18.4,21.3
Pork - Smoked Kassler,47.7,88,28,47.5,57.0,36,30.2,10.7,37.6
Towel Dispenser,61.7,53,21,49.6,54.2,57,59.0,29.2,16.3
Chocolate - Dark,27.3,71,45,44.6,50.4,42,39.4,21.5,37.9
Stock - Fish,69.7,84,44,48.0,59.3,22,52.5,41.6,32.2
Flounder - Fresh,60.4,36,34,47.3,51.6,52,51.6,25.7,28.0
Sauce - Rosee,71.2,23,30,50.1,57.1,32,59.6,20.8,29.2
Beer - Sleemans Honey Brown,34.9,71,57,53.8,41.4,26,31.8,37.0,74.7
"Lamb - Leg, Boneless",76.2,72,50,43.9,56.9,35,59.1,19.3,80.6
Cheese - Swiss Sliced,28.4,62,26,55.2,54.0,49,37.3,45.4,56.1
Onions - Cooking,52.1,66,36,58.9,48.3,29,57.1,27.6,78.5
Peach - Fresh,62.5,35,31,52.0,58.3,21,31.2,21.9,44.9
Jack Daniels,22.7,87,63,48.7,45.5,50,43.3,10.6,54.5
Ginger - Crystalized,28.6,51,37,48.3,45.1,56,34.6,32.9,74.3
Pastry - Banana Tea Loaf,57.4,56,23,46.0,43.7,23,57.4,23.7,40.0
Chinese Foods - Cantonese,22.7,61,30,43.4,51.4,39,22.0,28.3,22.1
Veal - Sweetbread,30.1,67,54,54.8,47.2,25,42.9,39.8,50.7
Whmis Spray Bottle Graduated,52.1,29,66,45.0,51.2,58,36.6,36.8,47.0
Cheese - Brie,41.4,28,20,41.1,46.5,30,42.6,15.7,62.8
Long Island Ice Tea,65.4,38,47,59.6,47.0,39,45.4,15.9,60.2
Bread - Pita,54.5,81,25,43.4,51.6,45,48.2,21.9,77.1
Water - Aquafina Vitamin,70.4,53,28,40.0,46.1,53,26.1,41.6,33.4
Bandage - Finger Cots,78.9,57,47,47.1,47.2,40,21.6,33.9,42.2
Dip - Tapenade,55.6,30,42,55.6,44.0,58,34.8,16.7,73.0
Banana Turning,42.8,88,30,42.6,46.4,36,31.6,41.2,21.7
Mini - Vol Au Vents,61.7,34,47,51.7,49.2,22,44.6,22.4,49.3
Wine - Manischewitz Concord,72.4,62,55,54.7,43.4,25,22.5,43.0,37.1
Godiva White Chocolate,76.3,26,21,56.1,47.4,57,43.4,26.3,10.8
Bread - Corn Muffaletta,78.4,80,66,53.7,57.5,57,39.9,17.4,69.5
"C - Plus, Orange",65.6,30,38,48.2,59.5,34,59.6,19.2,86.6
Oyster - In Shell,37.9,51,38,53.7,47.4,45,48.6,35.7,15.0
Scallop - St. Jaques,76.0,57,68,59.6,47.7,59,52.4,27.8,80.0
Kiwi Gold Zespri,28.4,84,20,58.9,55.2,53,49.0,48.8,22.0
"Nut - Peanut, Roasted",46.3,25,70,44.7,42.3,28,54.5,37.7,49.2
Energy Drink Bawls,42.6,49,44,50.0,56.0,26,29.8,31.3,57.7
"Extract - Vanilla,artificial",51.4,85,20,49.6,52.1,55,49.4,39.5,15.9
Peach - Halves,54.0,68,42,44.6,53.2,29,38.1,32.0,35.4
Gherkin - Sour,64.4,61,49,57.2,53.0,31,28.3,30.2,35.0
Foil Cont Round,75.9,67,58,41.3,46.0,42,26.8,11.5,78.4
"Nut - Almond, Blanched, Ground",45.8,30,49,45.4,40.7,53,34.6,21.4,81.4
Sauce - Cranberry,71.6,47,50,40.4,51.0,58,55.2,46.6,87.1
Wine - Ej Gallo Sonoma,76.6,54,57,53.1,51.1,28,43.7,24.3,21.6
Pie Filling - Cherry,36.1,47,41,54.4,42.2,45,38.4,13.7,85.5
Dip - Tapenade,69.0,78,41,44.3,55.9,56,43.8,15.5,55.6
"Bread - Roll, Italian",36.2,77,31,51.6,42.3,55,40.2,27.9,17.9
Soup - Campbells Chili,48.2,82,69,51.5,45.4,46,44.8,33.5,41.8
Fennel - Seeds,27.7,88,24,55.8,44.0,33,38.1,41.3,85.6
Kippers - Smoked,72.2,30,48,52.0,54.6,49,20.5,22.2,42.2
Mushroom Morel Fresh,74.4,75,21,47.4,58.3,51,49.0,20.6,76.7
Bread - Burger,70.2,63,35,51.4,47.9,30,23.7,30.8,51.8
Versatainer Nc - 9388,29.4,20,54,47.6,53.8,33,47.2,13.3,85.8
Wine - Semi Dry Riesling Vineland,65.9,28,34,44.5,53.3,27,28.9,30.4,40.8
Oranges,64.5,70,46,46.5,53.8,36,25.1,48.7,66.5
"Wine - Cahors Ac 2000, Clos",46.1,62,70,44.9,49.5,37,26.7,16.8,88.1
Chocolate - Feathers,50.9,59,50,56.0,54.4,31,49.2,20.7,33.2
English Muffin,68.1,53,63,46.7,41.9,29,50.6,43.9,78.2
Flour - Fast / Rapid,78.8,62,56,54.7,46.2,23,44.0,47.8,77.4
Lamb Rack Frenched Australian,54.2,82,26,52.6,40.8,48,23.7,19.4,52.4
Chinese Lemon Pork,54.0,27,44,40.7,45.2,53,32.7,30.3,12.9
Beer - True North Lager,20.6,70,35,42.1,56.2,54,59.9,39.2,11.4
Pastry - Banana Muffin - Mini,36.9,56,20,55.2,52.6,58,32.3,10.0,71.2
Juice - Orange,37.2,50,64,54.9,45.5,37,21.3,33.5,27.6
Rolled Oats,36.8,29,25,59.3,50.5,31,35.5,10.9,79.5
"Beef - Tongue, Cooked",37.6,43,59,52.5,57.0,58,31.7,49.3,86.0
Clams - Bay,75.8,87,70,55.5,49.0,48,27.7,27.1,24.7
Sprouts - Brussel,68.3,72,24,56.9,44.3,20,43.1,28.4,76.1
Pate - Liver,36.1,61,51,50.4,58.7,31,38.5,41.4,19.7
"Mushroom - Chanterelle, Dry",54.5,60,59,53.4,48.8,24,54.7,49.3,52.3
Chicken Breast Wing On,40.0,39,53,47.1,41.0,31,46.7,46.1,78.0
Napkin Colour,46.2,88,61,53.7,46.8,60,29.8,43.2,57.4
Table Cloth 62x120 Colour,52.5,83,69,52.7,43.5,32,43.4,25.4,19.1
"Tart Shells - Barquettes, Savory",22.7,88,51,45.1,53.9,29,42.6,27.9,46.4
"Napkin - Cocktail,beige 2 - Ply",38.7,32,25,50.6,53.5,28,58.7,25.5,50.1
"Soup - Campbells, Spinach Crm",22.5,38,21,54.4,46.9,54,46.4,33.1,44.1
"Bread - Rolls, Corn",41.7,23,66,49.3,51.6,36,53.7,47.2,63.0
Wine - Riesling Dr. Pauly,44.7,49,32,50.1,54.8,45,21.8,28.3,65.8
Muffin Batt - Carrot Spice,48.5,86,34,58.6,46.7,26,56.1,19.6,80.7
Nestea - Iced Tea,69.1,77,66,49.7,43.4,31,24.3,28.2,28.1
Beer - Original Organic Lager,78.9,31,43,55.8,45.1,35,36.5,21.7,32.4
Neckerchief Blck,61.5,86,54,41.7,52.2,52,40.9,18.3,25.9
"Halibut - Whole, Fresh",66.8,48,69,49.2,56.9,40,52.7,22.9,22.2
Octopus,37.9,66,52,58.9,55.0,28,30.6,41.8,68.7
"Wine - Red, Mouton Cadet",54.5,39,22,54.9,50.6,37,50.1,48.4,82.7
Wine - Alicanca Vinho Verde,78.7,62,31,56.8,56.4,24,52.5,34.8,73.2
Muffin Mix - Carrot,79.5,69,46,50.4,56.7,37,54.4,18.0,83.6
Wine - Remy Pannier Rose,67.7,55,31,45.6,47.3,31,24.4,30.7,12.1
"Soup - Cream Of Broccoli, Dry",66.0,75,42,47.5,47.4,52,39.9,13.9,52.5
Gelatine Leaves - Bulk,74.1,89,63,42.7,56.1,48,35.0,39.9,53.1
Beets - Pickled,37.0,44,46,59.9,43.5,41,45.5,33.8,80.0
Cheese - Le Cru Du Clocher,76.2,58,62,59.0,41.6,31,32.6,33.1,72.8
English Muffin,75.6,52,22,44.0,57.9,56,49.4,21.3,85.0
"Wine - Bourgogne 2002, La",64.4,20,37,42.1,57.6,59,44.8,32.7,11.6
Melon - Honey Dew,24.8,66,37,56.8,43.2,41,50.8,19.4,71.7
Lamb Leg - Bone - In Nz,45.5,37,26,54.1,44.3,52,59.4,11.9,20.8
Gingerale - Diet - Schweppes,34.6,78,40,47.8,58.2,58,39.1,22.1,71.7
Flower - Leather Leaf Fern,27.3,74,30,47.1,59.6,50,47.0,16.8,17.2
Slt - Individual Portions,72.0,36,38,54.0,57.8,28,22.8,10.5,14.4
Chicken - Whole Roasting,48.0,58,38,40.5,48.6,47,38.6,17.8,40.1
"Tuna - Canned, Flaked, Light",30.2,63,51,44.5,41.7,59,53.1,11.6,34.4
Bulgar,28.0,46,57,51.6,57.4,43,26.3,44.0,58.8
Green Scrubbie Pad H.duty,32.7,75,24,48.3,59.7,59,59.4,18.0,17.2
Mustard Prepared,66.9,47,36,40.4,53.9,55,28.7,10.4,65.0
Muffins - Assorted,26.4,56,69,45.8,46.3,55,28.6,24.3,83.7
Sauce - Demi Glace,37.8,57,25,49.8,57.6,56,28.1,12.1,70.1
Cheese - Brie Roitelet,51.9,57,70,59.8,45.9,35,47.9,42.6,68.3
Foam Cup 6 Oz,37.4,38,57,56.5,40.6,59,44.8,46.7,80.7
Pie Filling - Cherry,34.7,78,28,41.0,44.2,29,31.2,38.0,67.1
Foie Gras,76.1,20,45,50.7,41.3,33,56.2,40.3,58.1
Shiratamako - Rice Flour,56.7,80,56,40.2,47.4,30,48.0,22.9,75.4
Oil - Olive Bertolli,29.3,55,24,56.8,57.8,50,58.2,46.2,14.9
"Wine - Cahors Ac 2000, Clos",72.0,87,54,40.5,60.0,54,28.4,22.7,23.3
Sauce Tomato Pouch,38.8,79,42,51.5,52.3,32,25.1,46.2,37.5
Icecream - Dibs,48.0,35,26,53.2,56.5,49,52.7,30.1,21.6
"Pasta - Fett Alfredo, Single Serve",62.4,35,59,40.9,49.9,20,54.4,50.0,32.0
Cheese Cheddar Processed,55.5,67,25,42.3,53.9,41,25.1,27.3,84.1
Extract - Almond,69.3,87,24,46.2,58.3,50,42.7,20.9,77.6
Cream - 35%,46.5,87,53,42.3,49.6,23,31.2,42.9,45.7
Tilapia - Fillets,70.0,31,56,41.3,56.2,25,49.2,36.0,74.4
Cup - 8oz Coffee Perforated,69.3,20,45,53.5,59.2,28,58.3,42.0,68.3
Devonshire Cream,30.8,84,61,43.9,42.1,55,48.7,27.7,44.3
Potatoes - Parissienne,31.7,68,57,52.0,42.5,57,33.4,11.9,83.4
"Tortillas - Flour, 10",23.3,30,36,58.8,52.9,23,39.0,10.5,58.8
Oil - Margarine,56.9,66,57,42.3,45.3,50,26.8,21.5,47.7
Coffee - Espresso,47.5,63,31,49.8,52.0,47,46.3,31.4,81.4
"Lamb - Racks, Frenched",41.1,90,45,40.1,59.7,49,31.9,38.5,46.6
Ecolab - Mikroklene 4/4 L,50.4,49,46,51.7,48.8,54,26.1,22.5,89.4
Chick Peas - Dried,27.9,23,27,40.5,49.5,47,54.5,43.1,62.2
Dried Apple,34.0,63,60,45.1,57.2,59,25.4,24.4,54.8
Food Colouring - Pink,41.3,22,20,55.3,40.4,32,23.5,12.9,78.9
Cabbage Roll,55.6,21,38,52.2,57.9,39,42.2,39.1,66.6
Chicken - White Meat With Tender,48.3,86,57,45.6,55.0,47,35.0,29.5,19.0
Pork - Smoked Kassler,43.5,37,26,56.0,57.5,41,30.6,43.4,57.2
"Seedlings - Buckwheat, Organic",50.6,33,53,56.1,40.6,51,57.1,23.5,53.3
Salt - Table,57.6,53,63,52.3,51.4,57,21.7,26.9,50.3
Pie Shell - 5,75.9,45,62,49.0,56.1,24,37.1,20.6,46.4
"Bread - White, Sliced",60.4,23,31,45.6,50.8,29,56.5,32.7,62.8
Transfer Sheets,50.8,86,60,41.3,50.3,51,38.9,31.3,80.1
Remy Red,51.4,83,30,43.8,44.6,37,21.2,29.5,79.1
Juice - Orangina,36.7,28,27,49.3,55.6,40,56.6,38.5,11.0
Bagel - Plain,26.0,24,57,41.8,52.7,29,26.6,44.3,33.3
Beef - Top Butt Aaa,72.9,38,27,59.7,54.9,25,47.1,44.1,81.8
Beer - Mill St Organic,70.8,61,36,42.0,55.3,30,22.1,28.2,62.2
Cookie Chocolate Chip With,33.3,72,40,47.6,53.6,52,46.0,32.2,64.0
"Apple - Delicious, Red",68.6,74,63,40.3,40.8,26,24.8,21.0,21.8
Tuna - Yellowfin,45.6,71,44,52.3,56.7,22,57.2,39.2,57.0
Cheese - Brick With Onion,26.0,20,67,48.0,45.8,59,43.4,27.2,50.7
Wine - Pinot Noir Stoneleigh,72.0,47,62,45.1,55.7,51,30.0,16.2,18.2
Savory,35.4,68,40,53.5,58.7,48,23.4,44.7,19.6
Beer - Blue,32.9,89,33,53.5,42.6,20,32.1,27.1,56.4
Flavouring Vanilla Artificial,70.4,47,21,47.7,52.3,29,56.1,25.5,33.0
Coffee - Frthy Coffee Crisp,33.0,30,59,40.6,45.3,48,33.9,17.1,55.1
"Pork - Back, Long Cut, Boneless",26.6,69,44,53.2,56.1,45,25.5,32.8,18.0
V8 Splash Strawberry Banana,25.7,78,34,58.3,41.3,24,46.4,17.9,20.4
Cake - Mini Potato Pancake,33.4,66,57,54.2,46.6,20,57.2,13.6,60.1
Beer - Labatt Blue,55.8,24,51,51.9,54.9,48,22.7,21.2,13.9
Scallops - 10/20,24.4,21,48,48.7,40.1,53,30.8,25.6,82.8
Ice Cream - Turtles Stick Bar,51.3,20,27,43.1,49.3,39,36.9,32.4,32.5
"Extract - Vanilla,artificial",42.0,84,48,41.0,50.9,42,55.9,15.0,27.2
Island Oasis - Wildberry,46.4,61,31,59.9,40.7,28,33.7,14.5,88.3
Cheese - Cottage Cheese,58.4,52,50,41.2,48.3,21,58.0,23.7,51.0
Duck - Fat,39.3,22,52,43.8,42.9,31,41.5,24.0,61.9
"Soup - Campbells, Classic Chix",22.9,65,33,59.6,41.3,40,38.3,21.3,10.3
"Lid - Translucent, 3.5 And 6 Oz",68.7,26,39,52.9,50.8,20,44.3,31.7,23.2
Carbonated Water - Blackberry,69.3,75,20,49.8,49.1,48,38.1,21.9,78.6
Sausage - Liver,50.3,78,22,53.7,40.3,56,54.7,20.9,83.8
Cup - 8oz Coffee Perforated,34.4,82,46,53.8,42.1,27,57.9,46.0,59.5
"Nut - Pecan, Pieces",61.0,62,25,52.9,45.5,20,23.6,20.7,31.0
Cafe Royale,40.9,48,36,57.3,55.7,41,50.3,13.7,88.0
Olive - Spread Tapenade,31.9,42,28,58.4,45.7,51,55.4,40.2,61.1
Versatainer Nc - 888,76.9,69,27,57.2,53.8,32,57.1,43.2,38.0
Spice - Paprika,58.8,46,32,51.9,42.8,43,49.9,27.4,87.4
Plastic Wrap,50.4,73,24,57.0,48.1,33,50.5,20.6,63.4
Spic And Span All Purpose,63.4,83,25,52.6,45.8,34,34.1,28.7,30.4
Guava,53.9,53,29,54.9,42.6,56,54.1,47.7,64.3
"Wine - Magnotta - Red, Baco",63.2,30,36,46.7,51.6,37,28.9,17.6,55.6
Catfish - Fillets,54.5,70,65,41.2,47.7,42,35.0,44.4,55.1
Flavouring - Orange,41.1,73,62,48.1,49.8,49,47.6,37.9,32.9
Wine - Spumante Bambino White,36.9,25,39,52.7,44.5,44,30.8,42.6,33.9
Wine - Fontanafredda Barolo,53.2,43,40,41.0,46.5,32,40.7,13.2,80.8
"Pasta - Orzo, Dry",22.7,38,58,44.5,48.6,34,26.6,23.8,67.9
Slt - Individual Portions,29.3,22,29,55.6,54.9,51,29.0,46.7,82.0
Skewers - Bamboo,54.9,27,49,44.7,57.6,23,30.0,40.2,48.2
Bagelers,58.2,64,65,46.4,42.3,40,41.5,43.0,57.4
"Soup - Campbells, Lentil",64.0,67,23,53.0,41.4,43,33.8,10.5,10.6
Garam Marsala,45.6,83,46,53.2,52.6,43,48.7,45.5,23.0
"Tabasco Sauce, 2 Oz",44.2,42,38,48.5,43.4,24,34.6,28.6,71.6
"Salmon - Atlantic, Fresh, Whole",34.7,84,52,46.7,51.5,40,57.8,39.0,45.6
Alize Red Passion,20.1,61,43,40.5,48.6,28,36.7,43.5,51.7
"Soup - French Onion, Dry",25.1,31,67,54.3,47.1,41,49.7,35.4,27.3
French Pastry - Mini Chocolate,54.8,36,65,40.1,49.5,29,30.1,27.5,67.9
Filling - Mince Meat,53.4,88,27,44.9,43.0,46,45.7,47.2,31.4
"Chilli Paste, Sambal Oelek",68.2,34,45,47.6,42.2,30,44.1,45.2,11.2
Sugar - Icing,55.6,68,25,57.2,51.0,53,25.6,16.6,20.1
Lobster - Tail 6 Oz,26.9,24,37,45.5,50.7,38,22.9,40.7,44.4
Cumin - Ground,68.0,24,39,56.1,48.1,37,50.5,33.7,30.9
"Juice - Tomato, 48 Oz",34.5,59,38,43.2,57.8,44,25.1,16.4,27.4
Broom - Angled,67.5,65,57,48.7,46.0,51,31.0,14.6,83.2
"Wine - Red, Pinot Noir, Chateau",42.6,20,35,51.1,53.0,41,48.3,35.9,82.4
Longos - Grilled Chicken With,50.3,28,37,55.2,58.5,40,43.5,28.6,48.0
"Wine - Red, Mouton Cadet",54.0,32,67,50.9,46.1,41,45.7,47.6,19.3
Oil - Safflower,37.9,44,46,54.1,48.9,33,54.2,34.1,23.0
Instant Coffee,56.1,68,36,52.1,48.1,52,47.4,37.0,10.5
Wine - Marlbourough Sauv Blanc,48.2,34,54,56.5,41.5,30,25.6,16.7,35.5
Nantuket Peach Orange,21.2,45,63,52.2,55.4,42,47.7,46.3,27.0
Wine - Ruffino Chianti,23.6,27,23,54.0,46.5,36,30.2,48.5,21.9
Irish Cream - Butterscotch,62.4,79,53,48.5,44.1,31,58.5,31.8,90.0
"Fish - Base, Bouillion",64.8,80,41,41.0,57.5,58,39.9,23.2,53.9
Beer - Upper Canada Light,79.7,44,27,59.9,48.1,59,56.2,47.8,51.3
"Lemonade - Island Tea, 591 Ml",65.3,23,34,56.4,54.3,60,51.7,18.5,57.6
"Beans - Black Bean, Canned",53.3,80,25,41.6,51.4,30,21.0,42.6,89.2
Swiss Chard,67.7,66,62,57.4,57.7,45,44.6,34.7,38.0
Fond - Chocolate,45.2,41,66,49.4,45.9,27,23.1,10.5,76.4
Wood Chips - Regular,67.4,59,29,48.1,49.6,53,36.1,31.3,40.1
French Pastry - Mini Chocolate,28.9,30,44,59.3,54.3,51,35.4,29.5,12.3
Muffin - Zero Transfat,40.8,45,59,53.8,55.9,26,31.0,31.0,46.9
"Sauce - Gravy, Au Jus, Mix",20.4,45,43,41.2,43.0,29,21.5,43.9,32.0
Bread - Assorted Rolls,21.7,78,61,45.0,49.0,33,48.7,11.8,72.6
Clementine,78.4,65,56,49.3,56.8,26,20.4,38.8,27.3
Tea - Apple Green Tea,67.4,24,39,50.4,50.9,56,57.7,41.6,89.6
Mix - Cocktail Ice Cream,49.0,45,69,55.0,48.5,29,21.6,18.1,36.3
Mini - Vol Au Vents,44.1,86,61,46.0,56.0,49,46.3,31.4,79.3
Pork - Kidney,65.1,27,31,46.4,40.7,36,57.7,41.9,89.8
"Iced Tea - Lemon, 460 Ml",49.6,21,31,50.4,55.0,26,43.7,33.5,48.9
Mousse - Mango,27.8,67,20,56.9,47.1,29,49.9,48.3,11.7
Mix Pina Colada,30.9,42,45,57.0,40.4,27,42.8,37.3,28.1
Potato - Sweet,63.1,21,53,49.9,49.5,40,24.3,15.2,55.8
Tea - Mint,79.0,90,34,52.1,48.0,22,36.3,40.1,81.7
Sauerkraut,35.8,81,28,40.5,46.8,43,56.0,24.4,29.5
Grapes - Green,22.3,33,51,43.8,52.0,20,23.0,24.7,88.7
Sea Bass - Fillets,36.4,81,44,59.6,48.6,41,55.8,22.9,18.0
Dried Peach,44.6,43,42,57.6,59.8,59,27.9,39.5,73.8
"Chicken - Breast, 5 - 7 Oz",75.3,62,36,54.4,56.7,55,31.3,33.1,11.3
Muffin Hinge - 211n,74.7,78,36,43.1,40.1,32,43.7,29.1,14.4
Water - Evian 355 Ml,44.3,89,32,53.5,42.2,29,51.5,18.5,72.1
"Bread - Roll, Calabrese",29.5,88,24,46.5,50.8,20,22.1,36.3,58.9
"Pail - 15l White, With Handle",35.6,44,40,56.5,51.0,45,37.1,33.7,44.0
Orange - Blood,35.9,41,34,50.7,49.0,49,39.6,11.7,59.8
External Supplier,70.5,51,32,52.4,54.1,23,22.0,37.7,74.8
Potatoes - Idaho 100 Count,45.2,41,26,44.5,51.3,39,46.1,22.0,20.6
"Soup - French Onion, Dry",78.2,29,25,43.3,46.5,47,39.1,31.9,53.1
Turkey Tenderloin Frozen,39.1,64,45,53.0,54.6,25,32.5,40.4,18.5
Langers - Ruby Red Grapfruit,58.6,50,39,53.0,50.0,28,35.3,49.8,54.8
"Mushroom - Chanterelle, Dry",78.3,42,23,53.1,55.7,33,48.7,21.2,81.6
Bonito Flakes - Toku Katsuo,49.2,56,28,57.7,59.2,54,54.5,11.0,33.0
Ginger - Crystalized,27.6,54,32,49.1,50.0,59,45.4,25.1,82.7
"Brandy - Orange, Mc Guiness",26.1,82,35,56.5,51.0,52,41.0,32.7,60.4
Garlic - Peeled,27.8,52,28,44.2,45.7,49,29.1,26.0,25.9
Duck - Whole,32.1,45,48,58.6,59.0,47,34.0,18.2,76.8
Bulgar,23.5,68,66,48.1,54.4,55,41.1,31.5,35.0
"Apple - Delicious, Golden",20.4,29,57,54.4,48.9,59,29.5,33.5,69.9
Turkey - Ground. Lean,64.2,31,53,53.7,42.4,40,26.1,19.5,71.4
Sauce - Vodka Blush,30.2,57,64,50.0,56.9,47,58.7,41.3,31.9
Pizza Pizza Dough,45.1,59,32,51.1,53.8,28,43.2,35.4,13.3
Beef Dry Aged Tenderloin Aaa,34.8,79,36,55.5,52.8,26,52.5,45.7,33.0
"Noodles - Cellophane, Thin",60.8,60,48,41.2,49.8,40,51.0,13.2,80.7
Pasta - Ravioli,29.7,78,23,51.4,57.2,44,24.7,11.2,27.9
Cheese - Roquefort Pappillon,75.7,58,30,41.1,41.8,36,39.5,25.2,39.4
Capicola - Hot,32.6,79,24,42.3,54.3,39,48.9,24.4,46.3
Wine - Muscadet Sur Lie,35.7,60,58,57.8,49.4,24,59.0,39.7,83.7
Plastic Wrap,35.1,55,56,50.9,57.0,58,43.7,21.9,36.4
Creamers - 10%,28.7,48,45,43.8,42.3,37,35.5,20.7,62.5
Vegetable - Base,59.5,83,29,44.6,47.1,54,44.8,42.0,49.0
"Flour - Corn, Fine",25.8,40,60,40.4,46.1,29,55.1,42.8,19.6
Cabbage - Nappa,44.1,40,56,58.0,40.7,29,32.5,14.1,30.2
Cinnamon Buns Sticky,74.1,36,68,51.1,48.8,56,49.4,21.6,51.0
Icecream - Dibs,28.4,63,45,40.6,42.8,31,35.9,14.1,21.7
Syrup - Monin - Granny Smith,20.9,63,52,51.9,43.1,32,57.8,41.4,13.0
Chocolate - Milk Coating,46.3,66,39,55.1,59.7,39,39.9,41.5,50.8
General Purpose Trigger,20.6,57,61,58.3,58.0,21,33.7,13.4,45.7
Sun - Dried Tomatoes,40.1,88,45,41.4,48.5,31,24.5,27.9,64.8
Chutney Sauce - Mango,37.1,62,23,51.9,52.4,20,40.3,39.1,74.7
Soup Campbells,41.5,72,70,55.3,58.5,23,25.7,34.8,86.6
"Carrots - Mini, Stem On",55.0,74,29,47.6,57.7,59,28.2,26.2,71.1
Glass Clear 7 Oz Xl,37.8,30,69,56.3,50.2,58,32.9,25.4,38.2
Wine - Maipo Valle Cabernet,43.2,84,30,57.8,42.8,31,21.9,28.3,31.8
Pork - Smoked Kassler,26.3,49,37,46.1,44.7,59,30.8,44.3,36.5
Corn Meal,56.0,67,32,57.0,55.2,24,48.3,18.9,80.3
"Beef - Kindney, Whole",28.0,36,42,55.5,46.7,37,47.7,24.2,58.4
Ice Cream Bar - Hageen Daz To,54.8,60,58,46.0,56.3,40,57.1,18.0,76.7
Sprouts - Bean,47.8,35,65,57.4,54.2,29,58.9,41.7,80.3
Vinegar - Champagne,73.6,87,20,53.8,43.2,20,36.4,24.8,30.0
Sausage - Blood Pudding,69.3,61,57,48.2,51.2,41,50.8,20.6,46.9
Cocktail Napkin Blue,73.9,48,38,52.6,53.8,41,59.3,45.7,34.5
Straws - Cocktale,31.8,42,35,52.0,57.7,34,32.5,37.7,47.3
Venison - Striploin,71.2,78,39,45.9,45.2,54,41.4,30.0,51.7
"Beef - Roasted, Cooked",60.0,31,52,54.3,53.6,54,35.9,44.1,33.7
Shrimp - 31/40,50.8,65,56,42.4,42.8,46,32.7,47.4,56.2
Wine - Periguita Fonseca,63.8,73,24,45.0,52.9,27,36.5,37.4,58.5
Tea - English Breakfast,44.5,28,64,49.7,48.2,30,53.6,49.8,87.0
Wine - Cabernet Sauvignon,38.7,33,48,59.7,59.0,40,26.4,41.5,48.6
Wine - Ej Gallo Sonoma,72.1,65,32,53.2,57.2,32,46.1,38.7,68.0
Bar - Sweet And Salty Chocolate,30.8,25,25,57.1,50.8,20,54.9,13.2,55.0
Amarula Cream,40.9,85,61,44.0,57.2,27,35.3,38.9,45.5
Spaghetti Squash,59.0,88,31,53.1,43.4,20,23.9,39.2,88.1
Sauce Bbq Smokey,37.2,33,55,51.5,49.6,42,50.9,20.8,19.6
Ice Cream Bar - Hagen Daz,75.3,79,23,54.5,44.7,44,32.8,46.8,35.5
Bread - Focaccia Quarter,54.2,75,30,56.6,59.6,40,25.3,18.2,81.0
Basil - Seedlings Cookstown,24.4,43,48,41.6,42.5,55,48.9,44.1,31.1
Uniform Linen Charge,41.5,22,44,47.1,51.5,33,40.2,16.0,71.9
Food Colouring - Red,28.9,59,25,46.4,48.2,34,36.2,47.9,85.7
"Pork - Tenderloin, Frozen",36.6,45,66,43.4,50.4,32,20.5,23.4,81.8
Cheese - Cambozola,53.0,37,31,47.8,48.3,25,44.5,48.6,43.0
Milk - Homo,70.4,32,60,59.4,48.7,43,56.6,49.0,52.6
Watercress,37.6,58,47,56.4,57.3,48,37.3,40.8,13.5
"Pork - Tenderloin, Frozen",60.1,51,24,52.7,59.5,47,49.6,39.8,40.0
Island Oasis - Sweet And Sour Mix,62.7,82,41,46.4,44.0,58,24.6,40.2,80.8
Couscous,79.0,24,25,53.2,54.5,56,42.7,37.1,62.2
"Wine - White, Antinore Orvieto",52.5,30,47,58.8,53.7,43,44.0,25.4,81.1
Pie Box - Cello Window 2.5,31.9,76,44,47.8,48.0,27,39.0,11.3,67.8
"Tart Shells - Savory, 4",74.1,61,69,50.9,49.3,58,32.1,13.9,17.1
Sole - Iqf,75.9,26,57,50.6,47.0,36,33.5,49.7,69.6
Lychee - Canned,58.3,66,20,57.2,55.8,40,58.3,36.5,53.5
Longos - Lasagna Beef,38.9,65,42,50.1,59.3,32,37.3,38.9,59.3
Appetizer - Asian Shrimp Roll,76.3,37,40,58.9,41.8,26,56.9,16.9,60.8
Puree - Mango,51.0,80,41,54.5,44.1,20,23.3,11.4,37.3
Potatoes - Mini Red,27.2,86,32,57.8,44.1,38,46.6,10.7,42.8
"Quail - Whole, Boneless",34.1,24,32,41.5,52.7,54,40.8,40.9,80.7
"Lemonade - Natural, 591 Ml",39.8,53,42,50.0,50.6,46,45.1,12.3,69.5
Lettuce - Curly Endive,55.9,21,54,51.2,48.9,42,25.3,32.2,80.1
Foil - Round Foil,46.7,68,23,44.7,53.6,22,56.4,24.8,50.9
Tea - Honey Green Tea,58.6,68,31,41.8,43.5,59,25.2,32.9,60.0
Grapes - Green,22.2,65,44,47.8,55.5,36,37.1,47.5,24.9
Island Oasis - Magarita Mix,29.9,56,63,55.2,46.0,46,39.0,48.9,36.5
