Name,Average week cost,Temp,Consumption rate,Cost,Weather
Wine - Vineland Estate Semi - Dry,32,28,60,32,
Beer - Sleeman Fine Porter,34,34,54,33,
Soup Campbells Mexicali Tortilla,29,33,26,31,
Soup - Campbells Bean Medley,26,30,36,30,
Ice Cream - Vanilla,32,32,38,30,
Wine - Barolo Fontanafredda,28,29,33,33,
Onion Powder,23,35,24,35,
Sauce - Salsa,29,30,50,28,
"Pasta - Elbows, Macaroni, Dry",26,28,20,32,
Sesame Seed Black,26,32,41,35,
Yeast Dry - Fleischman,23,30,32,33,
Puff Pastry - Slab,21,34,25,34,
Halibut - Fletches,24,31,21,35,
Muffin Mix - Chocolate Chip,25,30,31,33,
Carrots - Jumbo,31,30,29,31,
Soup - Campbells Beef Stew,31,34,52,28,
Wine - Pinot Noir Pond Haddock,32,34,29,34,
Onions - Red Pearl,28,33,31,32,
"Bread - Roll, Calabrese",28,35,56,33,
Butter Balls Salted,23,31,46,28,
Brandy Cherry - Mcguinness,35,33,59,33,
Carbonated Water - Raspberry,26,28,42,35,
Sage - Ground,35,33,25,29,
Turnip - White,21,35,23,29,
Nantucket - Orange Mango Cktl,34,33,42,29,
Pepsi - 600ml,32,34,55,34,
Muffin - Bran Ind Wrpd,29,32,45,33,
Cookies - Englishbay Oatmeal,31,34,25,29,
"Pasta - Rotini, Colour, Dry",26,35,57,35,
"Beef - Rouladin, Sliced",35,28,60,33,
Puree - Kiwi,26,33,45,31,
Beer - Sleemans Cream Ale,30,33,26,32,
Lidsoupcont Rp12dn,27,28,38,33,
Cassis,30,34,24,29,
Gherkin - Sour,33,28,59,34,
Grenadine,30,34,49,30,
Beef Dry Aged Tenderloin Aaa,31,29,39,30,
Dish Towel,33,29,24,35,
"Pepper - Black, Ground",22,33,24,35,
"Shrimp - Baby, Warm Water",29,35,28,34,
Chicken Breast Halal,23,33,29,32,
Almonds Ground Blanched,26,35,50,32,
Appetizer - Mushroom Tart,27,32,20,28,
Garlic,33,28,50,35,
Steampan - Foil,33,35,21,29,
"Pasta - Elbows, Macaroni, Dry",29,28,56,33,
Foil Wrap,34,32,39,28,
"Bread - Roll, Whole Wheat",25,31,44,31,
Oil - Sunflower,23,31,21,29,
Chives - Fresh,21,33,20,30,
Sausage - Andouille,29,35,50,35,
Orange Roughy 4/6 Oz,26,35,44,35,
Mustard - Pommery,33,29,27,30,
Lime Cordial - Roses,35,30,34,33,
Beef - Montreal Smoked Brisket,23,28,39,34,
Ham - Virginia,21,32,20,34,
"Shrimp - 16 - 20 Cooked, Peeled",27,34,58,28,
Bread Crumbs - Japanese Style,21,31,35,31,
Bacon Strip Precooked,30,34,29,34,
Parsnip,23,33,44,30,
Straw - Regular,33,32,39,35,
Ham - Procutinni,32,34,25,33,
Cheese - Comte,23,32,46,29,
Duck - Legs,35,33,20,28,
"Wine - White, Riesling, Semi - Dry",26,30,44,31,
Spice - Paprika,20,32,50,29,
Chocolate - White,32,34,33,28,
Broom Handle,29,31,43,35,
Mcguinness - Blue Curacao,31,35,38,31,
Horseradish - Prepared,33,35,46,30,
Bread Bowl Plain,22,34,25,32,
Dried Peach,33,30,54,33,
Icecream - Dstk Strw Chseck,25,34,50,31,
Dip - Tapenade,35,33,37,29,
Sugar Thermometer,23,31,22,31,
Spinach - Frozen,25,34,46,28,
Tomatoes,20,34,32,29,
Soup - Campbells Asian Noodle,35,29,56,35,
Muffin - Mix - Bran And Maple 15l,24,30,57,29,
Cranberries - Frozen,21,31,47,30,
Sobe - Green Tea,28,28,28,30,
Carbonated Water - Cherry,25,35,45,31,
Cheese - Shred Cheddar / Mozza,29,28,59,33,
Spinach - Frozen,27,31,45,32,
Sobe - Tropical Energy,32,32,41,28,
Wine - Jafflin Bourgongone,31,28,33,33,
Mcguinness - Blue Curacao,31,30,42,31,
Ice Cream - Super Sandwich,33,30,51,34,
"Zucchini - Mini, Green",26,35,21,33,
"Lamb - Pieces, Diced",23,35,23,28,
"Wine - Red, Antinori Santa",22,34,40,30,
Sugar - Cubes,34,31,34,33,
"Tortillas - Flour, 8",27,31,56,31,
Rice - Brown,26,31,53,30,
Aspic - Clear,35,34,44,34,
Sauce Bbq Smokey,33,34,51,34,
Ginger - Ground,28,33,53,31,
Soup - Campbells Beef Stew,30,29,49,32,
Veal - Striploin,27,34,38,31,
Water - Perrier,33,31,35,30,
Cake - Night And Day Choclate,32,33,35,35,
Water - Perrier,23,28,51,29,
Wine - Chardonnay South,20,35,26,33,
Sour Puss Sour Apple,23,34,60,32,
"Nut - Hazelnut, Ground, Natural",33,33,22,35,
Eggroll,21,32,60,35,
Lid Coffee Cup 8oz Blk,26,34,49,30,
Muffin - Mix - Bran And Maple 15l,30,33,40,34,
Parsnip,34,30,23,32,
Heavy Duty Dust Pan,32,35,20,33,
Soup - Chicken And Wild Rice,20,33,39,31,
"Soup - Campbells, Chix Gumbo",33,28,24,28,
Butter Ripple - Phillips,30,30,24,34,
Lamb - Rack,29,32,27,35,
Grapefruit - Pink,33,28,56,33,
Cookies Almond Hazelnut,20,32,31,34,
"Schnappes - Peach, Walkers",35,29,26,28,
Pepper Squash,20,28,41,35,
Bread Base - Gold Formel,33,30,32,29,
Wine - Riesling Dr. Pauly,24,35,50,29,
Scallops - Live In Shell,26,33,26,35,
Cookie - Dough Variety,23,31,34,29,
Fiddlehead - Frozen,23,28,49,32,
Nut - Pumpkin Seeds,24,31,23,29,
"Cheese - Romano, Grated",35,32,40,28,
Beef - Eye Of Round,33,30,38,34,
Cheese - Pied De Vents,32,32,45,31,
Butter - Salted,30,28,35,28,
Duck - Fat,20,31,41,30,
Artichoke - Fresh,26,34,38,34,
Chocolate Liqueur - Godet White,32,34,56,33,
Soup Campbells Mexicali Tortilla,29,29,52,28,
Ginger - Ground,26,31,53,33,
"Tortillas - Flour, 10",32,35,31,34,
"Sugar - Brown, Individual",22,34,41,35,
"Wine - Red, Harrow Estates, Cab",28,31,23,33,
Bouillion - Fish,30,30,57,28,
Pork Salted Bellies,29,32,52,32,
Flower - Carnations,34,34,57,34,
Peas Snow,35,33,53,32,
Turkey - Oven Roast Breast,26,31,60,33,
Milk - 2% 250 Ml,25,29,52,34,
"Fish - Atlantic Salmon, Cold",30,30,24,33,
Chevril,26,35,36,31,
Bread - Sour Batard,23,34,43,31,
"Pasta - Fettuccine, Egg, Fresh",20,33,26,28,
Cheese - Sheep Milk,32,30,34,31,
Sobe - Liz Blizz,24,30,33,31,
Oil - Safflower,31,32,59,31,
Allspice - Jamaican,33,29,57,31,
Pork - Belly Fresh,22,29,21,35,
Beer - Heinekin,28,32,48,35,
"Butter - Salted, Micro",32,28,38,29,
Water - Spring Water 500ml,24,33,49,29,
Squid - Tubes / Tenticles 10/20,34,30,26,33,
Wine - Chateau Bonnet,28,28,46,30,
Kellogs Raisan Bran Bars,21,32,42,34,
Sauce - Balsamic Viniagrette,25,34,23,34,
Smirnoff Green Apple Twist,32,31,38,31,
"Shrimp, Dried, Small / Lb",27,34,49,33,
Lamb - Shoulder,25,35,45,33,
Yoghurt Tubes,32,29,47,29,
Salad Dressing,33,34,57,34,
"Lid - 10,12,16 Oz",30,34,25,30,
Trueblue - Blueberry,31,33,46,30,
Absolut Citron,20,30,51,28,
"Cheese - Brie, Triple Creme",28,29,51,33,
Avocado,25,31,36,30,
Nantucket - Carrot Orange,35,34,28,29,
Sugar - Cubes,24,33,28,33,
Wine - Rioja Campo Viejo,28,28,20,29,
Bread - Flat Bread,34,33,26,33,
Wine - Penfolds Koonuga Hill,35,32,45,32,
Gelatine Leaves - Envelopes,34,32,40,33,
Bandage - Fexible 1x3,20,30,26,30,
Wine - Bouchard La Vignee Pinot,23,34,53,29,
Sprouts - Corn,31,29,28,35,
Bread - Hamburger Buns,35,32,27,34,
Veal - Inside,30,32,54,32,
Beans - French,24,29,27,31,
Gelatine Powder,31,34,43,28,
Cookie Dough - Oatmeal Rasin,32,35,33,30,
Pea - Snow,35,33,60,34,
"Soup - Campbells, Creamy",21,32,42,32,
Cut Wakame - Hanawakaba,27,32,59,32,
Knife Plastic - White,25,28,21,29,
"Carrots - Purple, Organic",24,33,47,29,
"Pork - Bacon, Sliced",27,34,42,34,
"Tray - Foam, Square 4 - S",34,30,31,33,
Triple Sec - Mcguinness,32,35,29,29,
"Wine - White, Antinore Orvieto",22,30,56,31,
Compound - Pear,24,28,55,29,
"Potatoes - Purple, Organic",32,31,53,31,
Celery,35,30,49,28,
Wine - Muscadet Sur Lie,24,33,44,30,
"Quail - Whole, Boneless",30,34,43,34,
"Bread - Bagels, Plain",32,33,24,28,
Appetizer - Tarragon Chicken,20,30,25,32,
Apricots - Halves,27,33,46,30,
Cafe Royale,31,33,29,28,
Bread - Petit Baguette,32,32,30,34,
Cheese - Feta,33,31,25,29,
Lime Cordial - Roses,30,30,39,32,
Pepper Squash,32,29,58,34,
"Juice - Grapefruit, 341 Ml",31,35,43,32,
Ezy Change Mophandle,26,29,38,32,
Roe - White Fish,26,32,28,30,
"Bread - Roll, Canadian Dinner",29,34,58,28,
Pork - Bones,35,30,26,32,
Lettuce - California Mix,24,35,26,31,
Bread Base - Italian,24,31,38,34,
Napkin - Beverage 1 Ply,31,31,52,29,
Parsnip,34,35,51,29,
Sage - Rubbed,29,34,33,31,
Shrimp - Black Tiger 13/15,35,28,36,29,
V8 - Vegetable Cocktail,33,35,37,33,
Soup - Campbells Asian Noodle,30,31,48,33,
"Mustard - Dry, Powder",25,33,42,35,
Bag Stand,34,29,55,31,
Wine - Cabernet Sauvignon,28,35,45,28,
"Bread - Rolls, Corn",33,28,31,31,
Soup - Campbells Broccoli,21,35,58,28,
Barley - Pearl,35,30,28,33,
"Yogurt - Blueberry, 175 Gr",33,29,26,29,
Flavouring - Rum,24,35,47,31,
Rice - Basmati,33,34,46,28,
"Flour - Buckwheat, Dark",29,31,45,31,
"Asparagus - White, Canned",24,29,20,28,
Olives - Morracan Dired,24,28,37,29,
Tea - Herbal Sweet Dreams,21,33,41,34,
Foil Cont Round,25,35,38,33,
Bread Foccacia Whole,28,32,22,31,
"Beef - Cooked, Corned",26,31,21,28,
Cookie Dough - Chunky,27,34,47,35,
"Mop Head - Cotton, 24 Oz",24,33,59,28,
Water Chestnut - Canned,24,32,49,30,
"Soup - Cream Of Broccoli, Dry",20,35,44,30,
Corn Meal,34,28,58,30,
"Nut - Almond, Blanched, Whole",26,31,52,28,
Cocktail Napkin Blue,23,35,33,28,
External Supplier,24,35,60,35,
Table Cloth 62x114 Colour,22,29,23,29,
"Mushroom - Chantrelle, Fresh",22,33,22,29,
Onions - Green,21,32,42,29,
Puree - Guava,22,35,24,34,
Wine - Fino Tio Pepe Gonzalez,31,33,33,30,
"Pasta - Tortellini, Fresh",22,29,40,29,
Wine - Sicilia Igt Nero Avola,25,32,25,33,
Wine - Ruffino Chianti,35,35,48,28,
Pate Pans Yellow,30,30,37,32,
Coffee - Frthy Coffee Crisp,30,35,24,34,
Chinese Foods - Plain Fried Rice,33,35,50,34,
Apple - Northern Spy,32,35,27,29,
Scallops - In Shell,35,31,55,35,
Salt And Pepper Mix - White,34,34,20,31,
Sugar - Cubes,27,31,29,32,
Tea Peppermint,20,35,51,35,
Icecream - Dibs,27,31,23,28,
Crab Meat Claw Pasteurise,27,33,57,34,
Apple - Custard,26,34,29,34,
Table Cloth 90x90 White,29,35,35,28,
General Purpose Trigger,34,34,33,35,
Pickles - Gherkins,31,28,49,35,
Cotton Wet Mop 16 Oz,25,34,45,33,
"Nut - Pecan, Halves",30,35,20,31,
Lid Tray - 12in Dome,34,32,50,30,
Veal - Leg,23,35,31,31,
Beef - Montreal Smoked Brisket,29,32,27,31,
Celery Root,28,30,40,28,
Beef Wellington,26,34,44,31,
Towel Dispenser,31,28,22,33,
Lettuce - Boston Bib,30,35,58,28,
Tart - Lemon,31,33,32,31,
Cookies - Assorted,26,35,52,29,
Lid - 16 Oz And 32 Oz,33,34,23,30,
Soup Knorr Chili With Beans,30,29,41,31,
Pasta - Canelloni,33,34,38,34,
Lettuce - Arugula,20,34,48,33,
Bread - Multigrain Oval,30,30,23,28,
Grand Marnier,33,28,35,28,
Table Cloth 54x54 Colour,35,33,25,32,
"Onions - Dried, Chopped",31,31,42,30,
Cranberries - Fresh,24,31,52,31,
Bag Clear 10 Lb,31,28,59,28,
Vector Energy Bar,26,33,32,30,
"Fish - Artic Char, Cold Smoked",29,31,54,30,
Sage Derby,27,30,30,31,
"Salsify, Organic",29,32,31,30,
Flour Dark Rye,29,30,57,29,
Coffee Decaf Colombian,34,28,54,35,
Sausage - Liver,26,30,30,33,
Soup Knorr Chili With Beans,22,28,33,28,
"Wine - Harrow Estates, Vidal",33,28,42,31,
Chocolate - Mi - Amere Semi,33,33,45,33,
Vinegar - White Wine,25,30,20,28,
Sausage - Chorizo,29,31,60,29,
Anchovy In Oil,21,30,39,31,
Table Cloth - 53x69 Colour,34,28,52,32,
Oil - Olive,23,28,28,34,
Honey - Comb,34,32,41,28,
"Star Anise, Whole",23,35,26,32,
Beef - Kobe Striploin,30,31,37,31,
"Wine - Red, Colio Cabernet",22,28,40,30,
Appetiser - Bought,26,35,35,29,
Pasta - Canelloni,31,29,41,34,
Apricots Fresh,35,28,55,34,
Wine - Beringer Founders Estate,26,35,41,34,
Jolt Cola,25,35,39,31,
Pea - Snow,31,33,55,30,
"Mushroom - Trumpet, Dry",27,31,50,31,
"Lamb - Leg, Diced",29,32,29,35,
Wine - Alsace Gewurztraminer,32,33,27,28,
Bread - Pita,22,30,22,28,
Table Cloth 62x114 Colour,23,29,54,30,
"Beans - Kidney, Red Dry",31,28,36,29,
Chinese Foods - Plain Fried Rice,28,30,26,33,
Snapple Lemon Tea,29,31,50,33,
"Yogurt - Blueberry, 175 Gr",34,34,29,29,
"Vinegar - Balsamic, White",23,31,34,28,
Southern Comfort,23,31,52,33,
Wine - Crozes Hermitage E.,23,31,31,30,
Lamb Rack Frenched Australian,33,34,56,31,
Langers - Cranberry Cocktail,28,28,57,32,
"Bread - Multigrain, Loaf",23,32,53,28,
Syrup - Monin - Granny Smith,26,31,21,34,
Carbonated Water - Orange,27,34,38,31,
Spring Roll Wrappers,28,30,34,33,
"Turkey - Breast, Boneless Sk On",35,33,58,30,
Beef - Sushi Flat Iron Steak,21,28,46,29,
Cup - 8oz Coffee Perforated,32,35,38,33,
Crab - Imitation Flakes,32,30,39,34,
Bag - Clear 7 Lb,22,35,46,33,
Raspberries - Frozen,29,29,60,31,
"Juice - Grape, White",35,29,45,28,
Sambuca Cream,32,29,46,34,
Table Cloth 90x90 Colour,31,31,48,34,
Lettuce - Iceberg,28,29,59,34,
Cake - Bande Of Fruit,35,32,58,30,
Quinoa,22,34,49,34,
Cream Of Tartar,31,33,33,32,
Lettuce - Escarole,35,32,36,32,
Steamers White,20,30,29,28,
Wine - Gato Negro Cabernet,24,33,51,34,
Cookie Choc,28,35,47,28,
Bread Fig And Almond,34,30,24,29,
"Cheese - Cheddar, Mild",22,28,60,30,
Potatoes - Yukon Gold 5 Oz,27,33,20,28,
Quinoa,20,35,49,31,
Wine - Piper Heidsieck Brut,20,28,22,31,
Wine - Marlbourough Sauv Blanc,23,31,27,29,
Corn - Mini,21,32,37,33,
Peas Snow,30,30,44,33,
Sherbet - Raspberry,22,35,39,32,
Syrup - Monin - Passion Fruit,22,32,23,33,
Table Cloth 54x72 Colour,29,28,33,34,
Sage - Ground,28,33,30,29,
Ecolab Crystal Fusion,28,28,55,28,
Venison - Liver,30,32,22,31,
Rabbit - Frozen,29,35,54,35,
Radish - Pickled,28,28,53,28,
Cheese - Ermite Bleu,26,35,41,28,
"Doilies - 8, Paper",29,30,27,30,
"Water - Spring Water, 355 Ml",21,30,56,28,
Wine - Red Oakridge Merlot,24,28,28,33,
Ice Cream Bar - Hageen Daz To,28,28,53,28,
Appetizer - Crab And Brie,33,30,57,32,
"Tart Shells - Sweet, 4",21,28,28,30,
Mussels - Frozen,21,31,58,34,
Jolt Cola - Red Eye,34,28,43,31,
Bread - Olive,30,30,49,35,
"Plate - Foam, Bread And Butter",20,29,34,35,
Hagen Daza - Dk Choocolate,32,28,45,32,
Food Colouring - Red,28,31,24,34,
Pastry - Choclate Baked,31,32,50,34,
